а	a
албаса	a l b a s a
албасак	a l b a s a к
албасам	a l b a s a m
албасаң	a l b a s a ng
албасаңыз	a l b a s a ng ih z
албасмын	a l b a s m ih n
албассыңар	a l b a s s ih ng a r
албастан	a l b a s t a n
албасы	a l b a s ih
албасын	a l b a s ih n
албасына	a l b a s ih n a
албаңыз	a l b a ng ih z
албетте	a l b e t t e
албеттүү	a l b e t t y y
албеттүүсү	a l b e t t y y s y
албоочудай	a l b o o tsh u d a j
албуут	a l b u u t
албууттанбады	a l b u u t t a n b a d ih
албырып	a l b ih r ih p
алга	a l gh a
алгаи	a l gh a i
алгамын	a l gh a m ih n
алган	a l gh a n
алганбы	a l gh a n b ih
алганда	a l gh a n d a
алгандай	a l gh a n d a j
алгандан	a l gh a n d a n
алгандар	a l gh a n d a r
алгандыгы	a l gh a n d ih gh ih
алгансыды	a l gh a n s ih d ih
алгансып	a l gh a n s ih p
алганча	a l gh a n tsh a
алганы	a l gh a n ih
алганын	a l gh a n ih n
алганына	a l gh a n ih n a
алганынан	a l gh a n ih n a n
алганың	a l gh a n ih ng
алгач	a l gh a tsh
алгачкы	a l gh a tsh q ih
алгыла	a l gh ih l a
алгылыктуу	a l gh ih l ih q t u u
алгым	a l gh ih m
алгыр	a l gh ih r
алгырдыкы	a l gh ih r d ih q ih
алгың	a l gh ih ng
алда	a l d a
алдаба	a l d a w a
алдабаганына	a l d a w a gh a n ih n a
алдаган	a l d a gh a n
алдагы	a l d a gh ih
алдагысы	a l d a gh ih s ih
алдагың	a l d a gh ih ng
алдадым	a l d a d ih m
алдайт	a l d a j t
алдамчылык	a l d a m tsh ih l ih к
алдан	a l d a n
алданаг	a l d a n a г
алдангандар	a l d a n gh a n d a r
алдангандырсың	a l d a n gh a n d ih r s ih ng
алданганын	a l d a n gh a n ih n
алданып	a l d a n ih p
алдап	a l d a p
алдастабай	a l d a s t a w a j
алдастап	a l d a s t a p
алдатат	a l d a t a t
алдияр	a l d i j a r
алдоо	a l d o o
алдоого	a l d o o gh o
алдрдын	a l d r d ih n
алдуурак	a l d u u r a к
алды	a l d ih
алдыга	a l d ih gh a
алдыда	a l d ih d a
алдыдагы	a l d ih d a gh ih
алдыдан	a l d ih d a n
алдыкийинине	a l d ih k i j i n i n e
алдыкийнин	a l d ih k i j n i n
алдыларына	a l d ih l a r ih n a
алдыларынча	a l d ih l a r ih n tsh a
алдым	a l d ih m
алдыма	a l d ih m a
алдыман	a l d ih m a n
алдын	a l d ih n
алдына	a l d ih n a
алдынан	a l d ih n a n
алдында	a l d ih n d a
алдындагы	a l d ih n d a gh ih
алдынча	a l d ih n tsh a
алдынүстүн	a l d ih n y s t y n
алдыра	a l d ih r a
алдырам	a l d ih r a m
алдырбадыбы	a l d ih r b a d ih w ih
алдырбай	a l d ih r b a j
алдырбас	a l d ih r b a s
алдырбоо	a l d ih r b o o
алдырган	a l d ih r gh a n
алдыргандай	a l d ih r gh a n d a j
алдырды	a l d ih r d ih
алдырдым	a l d ih r d ih m
алдырдың	a l d ih r d ih ng
алдырдыңар	a l d ih r d ih ng a r
алдыртан	a l d ih r t a n
алдыруу	a l d ih r u u
алдырып	a l d ih r ih p
алдың	a l d ih ng
алдыңа	a l d ih ng a
алдыңан	a l d ih ng a n
алдыңар	a l d ih ng a r
алдыңарга	a l d ih ng a r gh a
алдыңкы	a l d ih ng q ih
алдыңкылар	a l d ih ng q ih l a r
алдыңызга	a l d ih ng ih z gh a
алеикум	a l e i q u m
алейкима	a l e j k i m a
алейкимаассалам	a l e j k i m a a s s a l a m
алейкимаассалом	a l e j k i m a a s s a l o m
алейкимасалам	a l e j k i m a s a l a m
алейкум	a l e j q u m
алейкума	a l e j q u m a
алейкумасалам	a l e j q u m a s a l a m
алек	a l e к
алексеевич	a l e k s e e вi tsh
алетте	a l e t t e
алжайды	a l zh a j d ih
алжайын	a l zh a j ih n
алжыгансып	a l zh ih gh a n s ih p
али	a l i
алиге	a l i g e
алиги	a l i g i
алик	a l i к
алип	a l i p
алиппе	a l i p p e
алиппени	a l i p p e n i
алипти	a l i p t i
алка	a l q a
алкашалка	a l q a sh a l q a
алкашты	a l q a sh t ih
алкоодон	a l q o o d o n
алкоосун	a l q o o s u n
алкымы	a l q ih m ih
алкымыңды	a l q ih m ih ng d ih
алкынып	a l q ih n ih p
алкыш	a l q ih sh
алла	a l l a
алланын	a l l a n ih n
аллатаала	a l l a t a a l a
алма	a l m a
алмадай	a l m a d a j
алмайды	a l m a j d ih
алмайынча	a l m a j ih n tsh a
алмак	a l m a к
алмакпыз	a l m a q p ih z
алмаксалмак	a l m a q s a l m a к
алмаштырып	a l m a sh t ih r ih p
алмашылганы	a l m a sh ih l gh a n ih
алмашып	a l m a sh ih p
алоолонгон	a l o o l o n gh o n
алоолонуп	a l o o l o n u p
алп	a l p
алпарам	a l p a r a m
алпештеп	a l p e sh t e p
алпурушуп	a l p u r u sh u p
алса	a l s a
алсаг	a l s a г
алсаң	a l s a ng
алсаңчы	a l s a ng tsh ih
алсаңыз	a l s a ng ih z
алсыз	a l s ih z
алсыздарга	a l s ih z d a r gh a
алсыздыгын	a l s ih z d ih gh ih n
алсыздык	a l s ih z d ih к
алсын	a l s ih n
алсыраган	a l s ih r a gh a n
алсыы	a l s ih ih
алты	a l t ih
алтыга	a l t ih gh a
алтыжети	a l t ih zh e t i
алтымыш	a l t ih m ih sh
алтымышка	a l t ih m ih sh q a
алтын	a l t ih n
алтындай	a l t ih n d a j
алтындын	a l t ih n d ih n
алтынкүмүштү	a l t ih n k y m y sh t y
алтының	a l t ih n ih ng
алуу	a l u u
алууга	a l u u gh a
алууда	a l u u d a
алууну	a l u u n u
алуунун	a l u u n u n
алуута	a l u u t a
алуучулар	a l u u tsh u l a r
алчаактыгы	a l tsh a a q t ih gh ih
алчактаган	a l tsh a q t a gh a n
алчактыгын	a l tsh a q t ih gh ih n
алчаңдай	a l tsh a ng d a j
алчу	a l tsh u
алчудай	a l tsh u d a j
алчыланта	a l tsh ih l a n t a
алчылантып	a l tsh ih l a n t ih p
алчыланып	a l tsh ih l a n ih p
алшгкан	a l sh гq a n
алы	a l ih
алыбек	a l ih b e к
алыбыз	a l ih w ih z
алыл	a l ih l
алым	a l ih m
алымбай	a l ih m b a j
алымбайга	a l ih m b a j gh a
алымбайда	a l ih m b a j d a
алымбайдан	a l ih m b a j d a n
алымбайды	a l ih m b a j d ih
алымбайдыкына	a l ih m b a j d ih q ih n a
алымбайдын	a l ih m b a j d ih n
алымдын	a l ih m d ih n
алымкул	a l ih m q u l
алымкулга	a l ih m q u l gh a
алымкулдан	a l ih m q u l d a n
алымкулдун	a l ih m q u l d u n
алымсынбагандай	a l ih m s ih n b a gh a n d a j
алымсынбаганы	a l ih m s ih n b a gh a n ih
алымсынбады	a l ih m s ih n b a d ih
алымсынбай	a l ih m s ih n b a j
алымсынбайт	a l ih m s ih n b a j t
алымсыпбады	a l ih m s ih p b a d ih
алымыш	a l ih m ih sh
алына	a l ih n a
алынган	a l ih n gh a n
алынчу	a l ih n tsh u
алып	a l ih p
алыптыр	a l ih p t ih r
алыптырбы	a l ih p t ih r b ih
алыс	a l ih s
алыска	a l ih s q a
алыскы	a l ih s q ih
алыста	a l ih s t a
алыстабай	a l ih s t a w a j
алыстабайт	a l ih s t a w a j t
алыстаган	a l ih s t a gh a n
алыстагы	a l ih s t a gh ih
алыстады	a l ih s t a d ih
алыстан	a l ih s t a n
алыстап	a l ih s t a p
алыстыгы	a l ih s t ih gh ih
алысы	a l ih s ih
алысыраак	a l ih s ih r a a к
алыт	a l ih t
алышар	a l ih sh a r
алышарын	a l ih sh a r ih n
алышат	a l ih sh a t
алышберишке	a l ih sh b e r i sh k e
алышкан	a l ih sh q a n
алышканы	a l ih sh q a n ih
алышканын	a l ih sh q a n ih n
алышкыла	a l ih sh q ih l a
алышмак	a l ih sh m a к
алышпаган	a l ih sh p a gh a n
алышпады	a l ih sh p a d ih
алышпадыңарбы	a l ih sh p a d ih ng a r b ih
алышпай	a l ih sh p a j
алышпайт	a l ih sh p a j t
алышсын	a l ih sh s ih n
алышта	a l ih sh t a
алышты	a l ih sh t ih
алышууга	a l ih sh u u gh a
алышууда	a l ih sh u u d a
алышуудан	a l ih sh u u d a n
алышууну	a l ih sh u u n u
алышчу	a l ih sh tsh u
алышына	a l ih sh ih n a
алышынан	a l ih sh ih n a n
алышып	a l ih sh ih p
алышыптыр	a l ih sh ih p t ih r
алыңыз	a l ih ng ih z
алыңыздар	a l ih ng ih z d a r
альпппайт	a l ьp p p a j t
алөйкум	a l oe j q u m
амал	a m a l
амалга	a m a l gh a
амалдуу	a m a l d u u
амалкөй	a m a l k oe j
амалкөйлүктүн	a m a l k oe j l y k t y n
амалкөйлүктөн	a m a l k oe j l y k t oe n
амалсыздан	a m a l s ih z d a n
амалы	a m a l ih
амалын	a m a l ih n
аман	a m a n
аманаман	a m a n a m a n
аманбы	a m a n b ih
амандашам	a m a n d a sh a m
амандашты	a m a n d a sh t ih
амандыгын	a m a n d ih gh ih n
амандыгыңарды	a m a n d ih gh ih ng a r d ih
амансыңарбы	a m a n s ih ng a r b ih
амантүгөлүн	a m a n t y g oe l y n
аманчылык	a m a n tsh ih l ih к
аманэсен	a m a n eh s e n
аманэсенби	a m a n eh s e n b i
аманэсендикти	a m a n eh s e n d i k t i
аманэсенсиңби	a m a n eh s e n s i ng b i
аманэсенсиңерби	a m a n eh s e n s i ng e r b i
амыры	a m ih r ih
ана	a n a
анав	a n a в
анамына	a n a m ih n a
анан	a n a n
ананайын	a n a n a j ih n
ананайындарым	a n a n a j ih n d a r ih m
анар	a n a r
анатолий	a n a t o l i j
анатолийди	a n a t o l i j d i
анатолийдин	a n a t o l i j d i n
анга	a n gh a
анда	a n d a
андагы	a n d a gh ih
андай	a n d a j
андайды	a n d a j d ih
андайлар	a n d a j l a r
андайларды	a n d a j l a r d ih
андан	a n d a n
андасанда	a n d a s a n d a
андаң	a n d a ng
анжиян	a n zh i j a n
анжиянга	a n zh i j a n gh a
анжиянда	a n zh i j a n d a
анжияндан	a n zh i j a n d a n
анжы	a n zh ih
анкеталык	a n k e t a l ih к
анкетин	a n k e t i n
ансалкын	a n s a l q ih n
ансамблин	a n s a m b l i n
ансыз	a n s ih z
ант	a n t
анте	a n t e
антейин	a n t e j i n
антип	a n t i p
антка	a n t q a
анткен	a n t k e n
анткени	a n t k e n i
анткенибиз	a n t k e n i b i z
анткорлоно	a n t q o r l o n o
анткорлугун	a n t q o r l u gh u n
антпайм	a n t p a j m
антпе	a n t p e
антпеее	a n t p e e e
антпей	a n t p e j
антпейт	a n t p e j t
антпесе	a n t p e s e
антпесең	a n t p e s e ng
антпечи	a n t p e tsh i
антсе	a n t s e
антсек	a n t s e к
антты	a n t t ih
антчү	a n t tsh y
антымды	a n t ih m d ih
антын	a n t ih n
антүүгө	a n t y y g oe
антүүдөн	a n t y y d oe n
анча	a n tsh a
анчалык	a n tsh a l ih к
анчамынча	a n tsh a m ih n tsh a
анчейин	a n tsh e j i n
аны	a n ih
аныбыз	a n ih w ih z
аныи	a n ih i
анык	a n ih к
аныктай	a n ih q t a j
аныктап	a n ih q t a p
аныктоо	a n ih q t o o
аныктөгүнү	a n ih q t oe g y n y
аныкууп	a n ih q u u p
аным	a n ih m
анымуну	a n ih m u n u
анымунуну	a n ih m u n u n u
анын	a n ih n
анып	a n ih p
анысы	a n ih s ih
анысын	a n ih s ih n
анысына	a n ih s ih n a
аныы	a n ih ih
аның	a n ih ng
аныңар	a n ih ng a r
аныңды	a n ih ng d ih
апа	a p a
апакемди	a p a k e m d i
апаларына	a p a l a r ih n a
апам	a p a m
апамды	a p a m d ih
апан	a p a n
апаптады	a p a p t a d ih
апасы	a p a s ih
апасын	a p a s ih n
апасына	a p a s ih n a
апасынан	a p a s ih n a n
апасыныкындай	a p a s ih n ih q ih n d a j
апасынын	a p a s ih n ih n
апаңардын	a p a ng a r d ih n
апаңды	a p a ng d ih
апдоону	a p d o o n u
апий	a p i j
апкаарыды	a p q a a r ih d ih
апкарып	a p q a r ih p
апкел	a p k e l
аппак	a p p a к
апта	a p t a
аптадай	a p t a d a j
апталаада	a p t a l a a d a
апталап	a p t a l a p
аптап	a p t a p
аптасыз	a p t a s ih z
аптасына	a p t a s ih n a
аптекке	a p t e k k e
аптмайынча	a p t m a j ih n tsh a
аптыга	a p t ih gh a
аптыгып	a p t ih gh ih p
аптыгышы	a p t ih gh ih sh ih
аптыкканын	a p t ih q q a n ih n
апы	a p ih
апын	a p ih n
ар	a r
ара	a r a
араа	a r a a
арааңдуу	a r a a ng d u u
араб	a r a b
араба	a r a w a
арабага	a r a w a gh a
арабада	a r a w a d a
арабадагы	a r a w a d a gh ih
арабадан	a r a w a d a n
арабакеч	a r a w a k e tsh
арабакечтер	a r a w a k e tsh t e r
арабалар	a r a w a l a r
арабаларды	a r a w a l a r d ih
арабалардын	a r a w a l a r d ih n
арабаларын	a r a w a l a r ih n
арабаны	a r a w a n ih
арабанын	a r a w a n ih n
арабасына	a r a w a s ih n a
арага	a r a gh a
арадан	a r a d a n
араз	a r a z
араздашканы	a r a z d a sh q a n ih
араздашты	a r a z d a sh t ih
араздашып	a r a z d a sh ih p
аракет	a r a k e t
аракетин	a r a k e t i n
аракеттенген	a r a k e t t e n g e n
аракеттенип	a r a k e t t e n i p
аракеттенишет	a r a k e t t e n i sh e t
аракеттеништи	a r a k e t t e n i sh t i
аракеттенмек	a r a k e t t e n m e к
аракеттенүү	a r a k e t t e n y y
аракеттеринен	a r a k e t t e r i n e n
арактай	a r a q t a j
арала	a r a l a
аралабаган	a r a l a w a gh a n
аралабай	a r a l a w a j
аралабаса	a r a l a w a s a
аралаган	a r a l a gh a n
аралаганда	a r a l a gh a n d a
аралагандагы	a r a l a gh a n d a gh ih
аралаганың	a r a l a gh a n ih ng
аралады	a r a l a d ih
араладыңбы	a r a l a d ih ng b ih
аралай	a r a l a j
аралап	a r a l a p
